common_name,x,y,series
Pea,55.0,4.0,Very high
Aubergine,65.0,24.0,Very high
Lettuce (Lambs/Corn Salad),30.0,4.0,High
Lettuce (Headed),45.0,4.0,High
Bok Choy,45.0,10.0,High
Cabbage (Chinese),45.0,10.0,High
Cabbage (Spring),55.0,7.0,High
Lettuce (Loose Leaf),60.0,4.0,High
Winter Purslane (Miners lettuce),60.0,4.0,High
Cabbage (Autumn red),60.0,7.0,High
Cabbage (Autumn),60.0,7.0,High
Cabbage (Spring red),60.0,7.0,High
Cabbage (Summer red),60.0,7.0,High
Cabbage (Summer),60.0,7.0,High
Carrot,60.0,7.0,High
Sweetcorn,70.0,16.0,High
Melon,75.0,18.0,High
Water melon,80.0,26.0,High
Celery,90.0,13.0,High
Celeriac,90.0,15.0,High
Cucumber,90.0,16.0,High
Cress,7.0,10.0,Medium
Beans (French),40.0,16.0,Medium
Turnip,45.0,5.0,Medium
Squash (Summer),45.0,10.0,Medium
Mangetout,50.0,4.0,Medium
Zucchini or Courgette,50.0,21.0,Medium
Broccoli,55.0,7.0,Medium
Calabrese,55.0,7.0,Medium
Beetroot,55.0,10.0,Medium
Cauliflower,55.0,15.0,Medium
Spinach (New Zealand),55.0,15.0,Medium
Beans (Borlotti),55.0,16.0,Medium
Chilli Pepper,60.0,17.0,Medium
Bell Pepper,60.0,17.0,Medium
Beans (Runner),65.0,16.0,Medium
Tomato (Cherry),65.0,16.0,Medium
Tomato (Regular),65.0,16.0,Medium
Endive,70.0,10.0,Medium
Parsnip,80.0,10.0,Medium
Fennel,80.0,15.0,Medium
Squash (Winter),85.0,10.0,Medium
Potatoes (Early),90.0,7.0,Medium
Onion,90.0,10.0,Medium
Amaranth (Grain),90.0,15.0,Medium
Pumpkin,90.0,21.0,Medium
Potatoes (Main crop),100.0,7.0,Medium
Artichoke (Globe),100.0,10.0,Medium
Sweet Potato,100.0,21.0,Medium
Brussels Sprouts,180.0,7.0,Medium
Kale,65.0,15.0,Low
Chicory,75.0,10.0,Low
Quinoa,90.0,15.0,Low
Artichoke (Jerusalem),110.0,18.0,Low
Beans (Broad),85.0,8.0,Very low
