year,pigs,poultry,sheep,cattle
1935,,,29077000.0,
1936,,,30114000.0,
1937,,,31306000.0,
1938,,,32379000.0,
1939,,,31897000.0,
1940,,,31063000.0,
1941,,,31752000.0,
1942,,,29256000.0,
1943,,,29636000.0,
1944,,,33200000.0,
1945,,,33975000.0,
1946,,,30476000.0,
1947,,,32682000.0,
1948,,,32483000.0,
1949,,,32845000.0,
1950,,,33857000.0,
1951,,,34786000.0,
1952,,,35384000.0,
1953,,,36193000.0,
1954,,,38011000.0,
1955,,,39117000.0,
1956,,,40255000.0,
1957,,,42382000.0,
1958,,,46026000.0,
1959,,,46876000.0,
1960,,,47134000.0,
1961,,,48462000.0,
1962,,,48988000.0,
1963,,,50190000.0,
1964,,,51292000.0,
1965,,,53748000.0,
1966,,,57343000.0,
1967,,,60030000.0,
1968,,,60474000.0,
1969,,,59937000.0,
1970,,,60276000.0,
1971,552000.0,,58912000.0,7994000.0
1972,477000.0,,60883000.0,8632000.0
1973,476000.0,,56684000.0,8924000.0
1974,462000.0,,55883000.0,9311000.0
1975,422000.0,,55320000.0,9292000.0
1976,433000.0,,56400000.0,9017000.0
1977,485000.0,,59105000.0,8738000.0
1978,473149.0,,61278223.0,8418011.0
1979,443452.0,,63791096.0,8022405.0
1980,434084.0,,68771772.0,8131214.0
1981,420259.0,,69883765.0,8035468.0
1982,405771.0,,70301461.0,7912303.0
1983,408403.0,,70262574.0,7630482.0
1984,436396.0,,69738672.0,7776089.0
1985,454462.0,,67853622.0,7921150.0
1986,435012.0,,67469515.0,8279122.0
1987,425542.0,,64243862.0,7998958.0
1988,413558.0,,64600077.0,8057898.0
1989,411334.0,,60568653.0,7828433.0
1990,394701.0,,57852192.0,8033975.0
1991,407306.0,,55161643.0,8099996.0
1992,411148.0,,52568393.0,8144321.0
1993,395117.0,,50298361.0,8308102.0
1994,422766.0,,49466054.0,8887032.0
1995,431004.0,,48816271.0,9272325.0
1996,424073.0,,47393907.0,9017277.0
1999,368887.0,,45679891.0,8960114.0
2002,342015.0,21908084.0,39571837.0,9652870.0
2003,377249.0,20449970.0,39552113.0,9728220.0
2004,388640.0,19034927.0,39271137.0,9599892.0
2005,341465.0,19400155.0,39879668.0,9510802.0
2006,355501.0,17507212.0,40081594.0,9608693.0
2007,366671.0,19828655.0,38460477.0,9654467.0
2008,324594.0,19940144.0,34087864.0,9715312.0
2009,322788.0,18266146.0,32383589.0,9961494.0
2010,335114.0,18731124.0,32562612.0,9863972.0
2011,326788.0,18834132.0,31132329.0,10020917.0
2012,313703.0,19295651.0,31262715.0,10180093.0
2013,297724.0,19319611.0,30786761.0,10182122.0
2014,286971.0,20278321.0,29803402.0,10368188.0
2015,268300.0,21135009.0,29120827.0,10032763.0
2016,254607.0,22683386.0,27583673.0,10151854.0
2017,273860.0,23965292.0,27526537.0,10145902.0
2018,287051.0,24161847.0,27295749.0,10106803.0
2019,255934.0,24720628.0,26821846.0,10150891.0
2020,234533.0,24848961.0,26028935.0,10082788.0
2021,248717.0,25675426.0,25732889.0,10150246.0
2022,275291.0,24756200.0,25132697.0,9751189.0
2023,249796.0,25273525.0,24359267.0,9538661.0
2024,243588.0,24573684.0,23583001.0,9516288.0
