digit_position,digit,occurrences
1,3,100230
2,1,99758
3,4,100230
4,1,99758
5,5,100359
6,9,100106
7,2,100026
8,6,99548
9,5,100359
10,3,100230
11,5,100359
12,8,99985
13,9,100106
14,7,99800
15,9,100106
16,3,100230
17,2,100026
18,3,100230
19,8,99985
20,4,100230
21,6,99548
22,2,100026
23,6,99548
24,4,100230
25,3,100230
26,3,100230
27,8,99985
28,3,100230
29,2,100026
30,7,99800
31,9,100106
32,5,100359
33,0,99959
34,2,100026
35,8,99985
36,8,99985
37,4,100230
38,1,99758
39,9,100106
40,7,99800
41,1,99758
42,6,99548
43,9,100106
44,3,100230
45,9,100106
46,9,100106
47,3,100230
48,7,99800
49,5,100359
50,1,99758
51,0,99959
52,5,100359
53,8,99985
54,2,100026
55,0,99959
56,9,100106
57,7,99800
58,4,100230
59,9,100106
60,4,100230
61,4,100230
62,5,100359
63,9,100106
64,2,100026
65,3,100230
66,0,99959
67,7,99800
68,8,99985
69,1,99758
70,6,99548
71,4,100230
72,0,99959
73,6,99548
74,2,100026
75,8,99985
76,6,99548
77,2,100026
78,0,99959
79,8,99985
80,9,100106
81,9,100106
82,8,99985
83,6,99548
84,2,100026
85,8,99985
86,0,99959
87,3,100230
88,4,100230
89,8,99985
90,2,100026
91,5,100359
92,3,100230
93,4,100230
94,2,100026
95,1,99758
96,1,99758
97,7,99800
98,0,99959
99,6,99548
100,7,99800
